Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,6 February 2016,blanche-2,10, fantastic film that takes place in postwar Vienna,"Even today in Vienna, one can take the ""Third Man Tour"" (Der Dritte Man) except, of course, that Orson Welles wouldn't go into the Viennese sewers and those scenes were done in England. There were actual sewer scenes with a double. Never mind, it is still a magnificent black and white film 99% filmed in Vienna. Directed by Carol Reed, it stars Joseph Cotten, Orson Welles, and Alida Valli.",/
1,11 December 2015,gogoschka-1,10, Simply Beautiful,"I don't know why this movie always hooks me the way it does; it's obviously a masterpiece and a revered piece of British/American cinema - but that alone is not the reason (there are other such masterpieces which fail to have that effect on me). Maybe it's the setting: the beautiful city of Vienna right after World War II, the scars of the most devastating conflict in human history still visible at every corner. Or it's the contrast between the eerily happy music tune - which plays throughout the entire film - and the dark, tragic story of murder and betrayal which I find so strangely captivating. Whatever it is, I just love this movie.",r
2,26 October 2016,frankwiener,9, Vienna Without a Waltz,"Although I am as old as this movie, produced in 1949, I have not aged nearly as well. This film, directed brilliantly by Carol Reed (""Odd Man Out"", ""The Fallen Idol"") and written by Graham Greene, who created a long list of memorable cinematic scripts, ingeniously captures the prevailing atmosphere of disruption and chaos that Vienna, a once highly civilized city, experienced during the years that followed World War II. The upheaval is physical, social, economic, political, moral, spiritual. You name it. Vanquished Vienna, conquered by the Allies, was crippled by turmoil in every imaginable way, and we viewers are given the opportunity to experience it up close, right here.",e
3,31 March 2016,Teyss,10, Confused ethics in a devastated world,"""The Third Man"" is widely considered as the best British film ever (e.g. British Film Institute 1999 poll, Sight & Sound polls). It is a landmark in worldwide cinema notably for its unique mix of genres: historical, thriller, tragedy, comedy. And it is a brilliant reflection about ethics.",v
4,20 June 2009,Lechuguilla,9, That Terrific B&W Cinematography,"In a bombed-out Vienna just after WWII, novelist Holly Martins (Joseph Cotten) arrives from America to renew a friendship with his childhood buddy, Harry Lime (Orson Welles). Much to the dismay of Holly, a freak auto accident has recently killed his friend, according to those who knew Harry.",i
5,17 January 2016,SnoopyStyle,7, cinematic art work,Pulp western writer Holly Martins (Joseph Cotten) arrives in post-war Vienna to work for old friend Harry Lime (Orson Welles) but is told that Harry is dead. The city is divided under the control of the Allies. British Major Calloway (Trevor Howard) tells him that Harry was a criminal. He decides to investigate Harry's death. Anna Schmidt (Alida Valli) is Harry's girlfriend. Harry's friends Baron Kurtz and Popescu describe the accident but Holly is told by another that there was a third man.,e
6,26 June 1999,mmt02,10, A movie ahead of its time,"The Third Man is a movie that looks and feels not like a movie of the 40s, but like a neo-noir of the late 60s/early 70s. This wonderful example of classic noir is one of the all time greatest films. It combines amazing visuals, sounds, dialogue, and acting to tell a thrilling story and comment about the atmosphere after WWII.",w
7,18 June 2004,Galina_movie_fan,9, Time for Lime,"Who was Harry Lime (Orson Welles)? An evil man, devil in the flesh who was responsible for the unspeakable crimes, yet brilliant, cheerful and charismatic. His most famous words, a short speech written by Welles himself, say a lot about his character and motivations:",/
8,16 August 2018,cricketbat,6, I could not get past the soundtrack,"I respect the ""classic"" status of The Third Man, but I could not get past the soundtrack. The zither music was distracting to me and it ruined what could have been some intense moments. The story was slow, but interesting and the characters were awkward, but relatable. I still think Orson Welles is a bit overrated, but he was excellent in this film.",r
9,24 December 2022,Xstal,8, Oblique Noir...,"Holly Martins has just arrived in Vienna, but he's found himself with a small dilemma, his mate Harry has just died, with a car he did collide, although the circumstance is causing him some bother. As he peels back several lids of several cans, it transpires Harry was a wanted man, had his fingers in some pies, to do with medical supplies, the authorities were not his biggest fan.",w
10,19 June 2008,The_Movie_Cat,6, I'll be honest... I didn't get it.,"Currently ensconced in the top fifty movies of all time on the IMDb, I just don't see it. Sure, The Third Man looks absolutely gorgeous and the ending is superb, but the rest is just passable. Beautiful to look at, but lacking any real drive or urgency.",8
11,8 September 2013,AAdaSC,4, You may need a cuckoo clock to wake you up,Author Joseph Cotten (Holly) is invited to Vienna by his friend Orson Welles (Harry Lime). There is a major problem with this set-up from the outset as it is revealed that Welles has just been killed. Cotton attends the burial but sticks around in Vienna as there seems to be a great deal of suspicion surrounding the death of his buddy.,9
12,13 October 2004,jotix100,10, Four men on a bridge,"A great deal has been said about ""The Third Man"" by contributors to this forum. Having seen the restored copy that was shown at the Film Forum, recently, I could not resist watching this masterpiece once more when it was shown by TCM, the other night.",4
13,3 October 2008,ma-cortes,8, Classic and immortal thriller-mystery set in Vienna during the Cold war,"The motion picture concerns an American writer of pulp Western named Holy Martin (Joseph Cotten), he arrives in a post-war devastating Vienna to see his old friend Harry Lime (Orson Welles), but Holy discovers he has been killed. In the funeral meets a gorgeous scene actress (haunting Alida Valli). Manipulative Harry is a known delinquent and drug-dealer, smuggling adulterated penicilin in black-market as well as a master-criminal at large in a Vienna of nightmare divided in four zones, the city is plenty of ruins, trash, devastation , rubbish and debris. Lime is allegedly dead , but is finally pursued throughout the sewers by military authorities (Trevor Howard, Bernard Lee, Geoffrey Keen).",6
14,22 February 2003,Quinoa1984,10, A glorious thriller,"Carol Reed's The Third Man is set in post-war Vienna- a hypnotic city, which is in consideration of the mountains of rubble and general sorrow of the are- and stars Joseph Cotten as Holly, a writer of hokey B-Western novels who's come to visit an old chum named Harry Lime.  He finds out Lime is dead, but that there is more to his old friend than he knew since before the war, along with Lime's girl Anna (a sympathetic character?).  Then when the revelation is shown of Lime's face on a darkened street, the film reaches an elegance rarely seen today in pictures.  ",6
15,11 December 2005,Doylenf,7," To zither or not to zither, that is the question...","THE THIRD MAN is an effective piece of late '40s film noir, but in my opinion is a rather overrated one, accompanied as it is by a distracting zither score that some believe is the film's crowning achievement, aside from Robert Krasker's B&W photography. ",9
16,10 December 2005,bkoganbing,10, Zither Thou Goest,The Third Man refers to another witness to a crime that no one seems to know anything about. The crime of course is the hit and run murder of Harry Lime played by Orson Welles. But is Welles dead.,8
17,27 September 2003,MovieAddict2016,10, Haunting and Poetic; A True Masterpiece...,"Carol Reed's ""The Third Man"" strikes all the right cords, establishing  itself on so many different levels that it almost becomes untouchable.  It has an underlying tone of darkness that not only thrills but chills.  It grabs the viewer from the start and never lets go.  It opens with Anton Karas' startling zither music and quickly propels  the viewer into a world of evil and lies. The tale is familiar to any  film lovers: A pulp Western writer named Holly Martin (Joseph Cotten)  is invited to post-war Vienna by an old friend of his, Harry Lime  (Orson Welles). The city has been divided into American, British,  French and Russian zones. The city exists as a shattered remnant of the  past - haunting and horrifying, dark and mysterious.   Upon his arrival, Holly discovers to his horror that his old college  pal is dead - hit by a car in the middle of a street. But for Holly,  the circumstances don't add up - everyone involved in the accident was  related in some way or another to Harry. So Holly searches for clues,  much to the chagrin of the British officer Calloway (Trevor Howard),  whose name is misused as Callohan by Holly many times throughout the  film. (""It's 'Calloway,' Mr. Martin, I'm not Irish."")  Holly Martin does begin to stumble upon some vital clues as to the real  story behind Lime's death - and finds out more than he bargained for.  Lime's old girlfriend is a stage actress. (""Always comedy."") She  accompanies Holly throughout the film, and we expect an underlying  romance to blossom, but yet in the end it does not - one of the many  surprises of the film.  I suppose it would be a sin for me to give away how Harry Lime  reappears, or even give away the fact that he does, for that matter  (though by now I am sure you realize Orson Welles is in this movie and  therefore turns out to be alive). But for those who have seen the film,  we all remember that terrific scene where the cat meows, and suddenly  he appears, an evil smirk on his face like a child who has gotten away  with the cookie from the jar. And then the ferris wheel scene, and the  chase through the sewers that no doubt helped win the film an Oscar for  cinematography. These are all some of the most memorable of film  scenes.  The director of ""The Third Man,"" Carol Reed, stumbled upon the film's  musician, Anton Karas, one night in a trashy bar in Vienna. It is no  wonder that out of all his candidates he chose Karas - the film's tune  is literally the most perfect example of matching harmony between a  film and its music I have ever seen (although ""JAWS"" is up there with  it). To go into the music is pointless - it must simply be heard in  synchronism with the film for you to understand where I am coming from.  When I think of film noir, ""D.O.A."" (1949) and ""The Third Man"" (1949)  are the first two films that come to mind. Both accomplish what they  set out to do, but ""The Third Man"" exceeds even farther than the former  - it is haunting and almost poetically vibrant in the way it displays  its story and the outcome of its characters. It is a film that will be  around for years and years. ""Citizen Kane"" is often thought of as the  greatest American motion picture of all time. But if I had to choose  between the two, I would most likely choose ""The Third Man."" It's just  my opinion, of course, and many may not agree, but as far as I see,  ""The Third Man"" beats ""Citizen Kane"" - for me - on more levels than  one.   Welles' ""Citizen Kane"" (1941) was an artistic film that rarely used  close-ups. It would almost stand back from the scenes and let the  viewer focus on what he or she wanted to focus on. ""The Third Man"" has  many close-ups. I do not take this as a director trying to give the  audience what he wants them to see, but rather a director in touch with  his feelings and ideas. Director Carol Reed knows just how to evoke  characters' feelings from scenes and close-up shots. The camera tilts  at awkward angles more often than not. The more and more paranoid and  afraid our hero becomes the more and more intense the close-ups and  angles. There is some haunting material in ""The Third Man,"" some  material the most novice of filmgoers might not expect. And the music  and direction only makes it all the more terrifying and haunting. This  is a film that you must witness to believe.  5/5.",/
18,25 January 2000,Ron Oliver,10," Murder, Mystery & Harry Lime","Post-war Vienna. A dangerous city, full of intrigue, crime & sudden death. Notorious American racketeer Harry Lime starts to cross a street. There is an accident and he is killed instantly. Or is he? His body is carried to the sidewalk by two friends. Or does another man assist them? If so, who is THE THIRD MAN and what does he know about Lime's suspicious death?",?
19,20 December 2005,ccthemovieman-1,9, Astounding Visuals Make It A Treasure,Story - pretty good.,r
20,27 September 2010,TheLittleSongbird,10, Brilliant,"The Third Man is really quite a brilliant film, and one of the best British films ever made in my opinion. There are several reasons why I think this. The cinematography is just outstanding, and helps fashion a city full of menace and the score is jaunty and flawlessly echoes the film's wit and drama. Then there is a dark yet playful script(two other words to describe the film itself too), impeccable direction from master of place, angle and shade Carol Reed and a gem of a story that grips you right up till the ending. The Third Man is also blessed with performances more perfect than you can ask for from Joseph Cotten and especially Orson Welles. Overall, it is a brilliant film, very well made and has a great story. 10/10 Bethany Cox",e
21,3 February 2011,Atreyu_II,4, Clearly overrated,"I read many wonders about this film, considering the very positive reviews it gets. It even is considered one of the greatest films ever. Judging by the general descriptions regarding this motion picture, it was even said to be a great story of suspense.",f
22,22 May 2012,claudio_carvalho,9, An Unforgettable Masterpiece of Mystery and Thriller,"In the post Second World War, the unemployed pulp fiction writer Holly Martins (Joseph Cotten) arrives in Vienna to meet with his old friend from school, Harry Lime (Orson Welles), who has offered him a job. On the arrival, he learns that Harry has just died hit by a truck in front of his building and he goes to his funeral. Holly Martins sees a beautiful woman, Anna Schmidt (Alida Valli), and a friend of Harry and sooner he learns that Anna was Harry's lover. ",_
23,19 January 2007,rmax304823,10, Cloaca and Dagger.,"The perfect film is not yet with us but this is movie making at its zenith. It's hard to imagine how this film could be improved upon. It's both gripping AND original. Each image on the screen is indelible. I'll give one example. Joseph Cotton waiting for Orson Welles at the gigantic ferris wheel, his coat flapping in the wintry breeze. The scene that follows references all the themes we have been introduced to previously -- crime, friendship, love, betrayal -- and it's very funny too. I mean, five hundred years of democracy and peace producing nothing more than the cuckoo clock. That scene could be played again and again without extinguishing the viewer's interest in it.",=
24,15 February 2023,gleslie-53203,10, The best movie of all time,"Where to begin. For starters Graham Greene. You know he understood the devastation Europe had gone through. You just can't make a film like this without it. That's what The Third Man is about - the devastation of Europe and how that affected people, both morally and physically.",t
25,21 May 2002,peanutthegreat,10, Joseph Cotten is Excellent in Revolutionary Film Noir,"""I never knew the Old Vienna, before the war, with its Strauss Music,"" opens Carol Reed's The Third Man, and we catch a glimpse of the New Vienna, with its Black Market and its Shady Deals. Joseph Cotten plays cheap novelette author Holly Martins, just arrived in Vienna to meet with long-time friend Harry Lime, who offered him a job. He instead meets with the mysterious facts surrounding the death of Lime, learned bit-by-bit from Lime's friends, a woman named Anna Schmidt, who has problems of her own (played excellently by Valli), and two British officers, Calloway and Paine. Learning, that there is more to death of Lime than there seems to be, Martins begins his investigation for the truth. This film was shot with some of the greatest, most ahead-of-its-time cinematography ever, and it creates mystery and deceit. It is complimented by the excellent use of shadows. The soundtrack is essentially one long song, which plays throughout the film, changing and stopping as the emotion calls for. It is a zither composition by Anton Karas made for the film. This is all topped off by an engrossing storyline, and a great performance by Joseph Cotten, as the ordinary man mixed up in this web of mystery.",t
26,21 May 2009,onepotato2,2, Merits Undetectable,"Hapless Holly Martins (who apparently has never figured out anything in his entire life... let's call him slow-witted) is brought to post-WW2 Vienna to meet college buddy Harry Lime, and seemingly, to be used by people. But Lime has died... and the new situation becomes complicated. Sadly within 5 minutes, it's utterly obvious that Lime has not died, and the film finds uninteresting ways to dawdle for more than an hour until a ""big twist"" confirms it. ",_
27,5 November 2007,funkyfry,10, Harry Lime,"""The 3rd Man"" is a rather odd movie from pretty much any perspective. Its most dynamic and magnetic character  Harry Lime (Orson Welles)  begins the film ""dead"" and doesn't' actually appear until most of the movie is over. The heroine (Valli) is a cold and remote actress whose only roles are comedy, and who tends to inflict more harm with her disregard than her anger. And our hero, Holly Martins (Joseph Cotten) is a self-proclaimed hack writer of pulp westerns who arrives penniless in post-war Vienna to find his best friend and potential employer has just died in an auto accident  but who possesses seemingly endless loyalty and dedication to the truth.",u
28,10 February 2021,snoozejonc,10, A cinematic attack on the senses,An American author arrives in post-war Vienna following a job offer from a friend.,r
