Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,15 March 2008,alexkolokotronis,10, The Truth Hurts,People did not like this movie for a simple reason: too negative. I can understand that this movie is so depressing in so may ways. ,/
1,13 March 2012,Leofwine_draca,9," Excellent, gutsy filmmaking","This is a compelling family drama charting one man's rise and fall as he ruthless exploits oil in the American west. It has everything you could want from a great Hollywood movie: subtlety, excellent acting, a thoughtful and intelligent script and quite wonderful cinematography.",r
2,29 September 2009,murtaza_mma,10, There Will be Praise,"The world of cinema has seen and marveled a plethora of phenomenal performers, who over the years have entranced billions of viewers globally with their guile, grandeur, subtlety, eloquence and idiosyncrasy, but I dare say that none of their performances can match Daniel Day-Lewis' portrayal of Daniel Plainview in There Will Be Blood, for sheer ruthlessness, panache, eloquence and cheek. Being the chameleon that he truly is, Daniel Day-Lewis incredibly musters up all his prodigious talent as an actor to conjure up his misanthropic alter ego, Daniel Plainview, whose perpetually smirked face bolstered by his malice filled eyes makes him one of the strongest and the most fascinating characters ever caricatured on the silver screen. Daniel Day-Lewis is at the top of his game and virtually unstoppable as Daniel Plainview, a portrayal that not only resuscitated him as an actor, but also established him as someone who wouldn't leave a single stone unturned to bring his character to life and perhaps it is this very attribute that has helped him in his endeavor to be the absolute best at what he does. ",e
3,31 January 2022,breezey-120-833995,7," Phenomenal acting, not personally gripped by the story",It has been a while since I watched a film where the acting and casting is so damn convincing - I have to start this review by saying that.,v
4,6 February 2011,TheLittleSongbird,10, One of the best of the last decade,"There Will be Blood! What a fine film! In fact I would go as far to say it is one of the best of the last decade. Visually, it is stunning, I loved the skillful cinematography and shots and the scenery was amazing. Jonny Greenwood's music is atmospheric and haunting as well, the script is lyrical, hysterical and sometimes even baffling, the story is excellent and thematically rich and the pace is fine, quite slow but deliberately so.",i
5,17 April 2008,lee_eisenberg,9," Daniel Day-Lewis does a great job playing a maniacal and, shall I say, oily character","I had heard about what a great movie ""There Will Be Blood"" is. A friend of my family said that she didn't really like the movie, but described a certain sound in it.",e
6,22 March 2011,ElMaruecan82,10, The most flamboyant portrayal of materialism and its alienating effect ...,"It's about expansion, it's about capitalism, and whatever that caused the demise of the Wild West myth. ""There Will be Blood"" looks, smell, feels like a Western but this is an Anti-Western more than anything  ",w
7,7 February 2014,LeonLouisRicci,8, Industrialism is a Filthy Business,"Industrialism and Capitalism can be a Dirty, Ugly Thing just like Sucking Oil from the Earth. Like a Vampire the Insatiable Oil Tycoons have not a Scintilla of Conscience about Humanity at the Price of Their Grandeur and Survival as Larger than Life Demi-Gods.",/
8,27 January 2008,Smells_Like_Cheese,10, Truly a piece of work,"A few months ago I saw the trailer to There Will Be Blood, at first I was a little put off, it looked very strange and a typical drawn out drama. But then a little later, I saw a different trailer that was much better and looked more interesting. So now it had all this hype and is now nominated for 7 Oscars, including best picture, finally it came to theaters in my home town and my mom and I just saw it. Now, I'm just going to get a complaint out, I think this movie was still a little drawn out, it kind of took on a Kubrick type of feel with the first twenty minutes that had no dialog. But that was the only thing that threw me off. While I'm not as in love with this movie as much as everyone else is, There Will be Blood is going to be a sure classic down the line. The direction, the acting, the script, the sets, everything about this film was done beautifully and shows the utter greed and madness that can turn men into monsters.",r
9,11 January 2011,lamoreauxba,10," One of my top five of all time, For Film viewers not movie goers","There Will Be Blood. Chilling, Sublime, perfect.",w
10,29 November 2009,claudio_carvalho,7," Technically Perfect, but Boring and Without Emotion","In 1898, the lonely mining explorer Daniel Plainview (Daniel Day-Lewis) finds silver nuggets in the shaft and a couple of years later her is in drilling business. When the young man Paul Sunday (Paul Dano) sells the information that there is oil in the lands of his family in Little Boston, California, Daniel travels with his son H. W. and buys the ranches in the area. He finds oil and brings prosperity to the locals and increases his fortune. Along the years, Daniel builds an empire but H. W. loses his audition; he meets a man that tells that he is his step brother; he faces the opposition of the preacher Eli Sunday (Paul Dano) from the Church of Third Revelation. The powerful Daniel destroys his competitors but becomes lonely and insane in the end of the 20's.",5
11,3 February 2008,Hancock_the_Superb,6," Disappointing and empty film, with an amazing central performance","Daniel Plainview (Daniel Day-Lewis) is an ambitious, slimy oil tycoon who begins building up an empire in the southwest using his considerable charm, his adoptive son H.W. (Dillon Freasier/Russell Harvard), and ruthless business acumen. He descends on the town of Little Boston, California, building a huge oil derrick and enriching the town. He clashes with Eli Sunday (Paul Dano), the fanatical young preacher, develops a strained relationship with his son (who is deafened in an accident), and solidifies his empire - but at the same time begins to unravel as a person.",0
12,13 January 2008,zetes,10, One of the most memorable characters of 2007 in one of the year's best films,"Wunderkind Paul Thomas Anderson's new film calls to mind Orson Welles' Citizen Kane in its themes and subject, and, shockingly, it's a good enough film to sit side by side with the one most often dubbed the greatest movie ever. Daniel Day-Lewis plays Daniel Plainview, an oil prospector who will do anything to be a success in the business. Much like Citizen Kane, There Will Be Blood depicts how the lust for money will eventually alienate every human being around you, and eventually make you completely isolated from the world. Unlike Citizen Kane, Daniel Plainview doesn't just grow apart from the world, he also becomes insane. There is a lot of metaphorical subtext lining the film's bottom, especially concerning the relationship between fundamentalist Christianity and big business. It's all very interesting to ponder. I don't know if I think the film is one of the most intellectually stimulating movies I've ever seen. For the record, I don't think Citizen Kane is, either. The message ""money corrupts"", while probably true, isn't especially insightful. What both films have in spades is a director with incredible talent who can envelop their audience in the rapturous experience of pure cinema. The desolate, desert setting sucks you in deeply and never lets you go. Every gravelly word spoken by Day-Lewis is anticipated with both glee and dread. It could have went on for three more hours, and only my bladder would have given notice. My only small grumble is Paul Dano in the final scene. He's good throughout, don't get me wrong, but that final sequence takes place over a decade after the last time we saw Eli Sunday. Daniel Plainview has aged, his son (as a child wonderfully played by the wide-eyed Dillon Freasier) has aged. Why is nothing done to Paul Dano to make him look older? At least give him a mustache! I think there must have been a reason for it, but I can't for the life of me imagine what that would be. Otherwise, an amazing experience.",9
13,22 November 2008,sddavis63,2, A Rather Excruciating Two And A Half Hours,"I think the last significant movie I saw that featured Daniel Day-Lewis in a significant role was ""Gangs of New York."" I was reminded of that movie somewhat. My reaction to ""Gangs"" was that it was dreadfully dull, although it did have a smattering of action here and there and at least I could see by the end that there was a point to the whole thing. Its high rating notwithstanding, I have to pin ""There Will Be Blood"" with the same dreadfully dull tag. The difference between this and ""Gangs"" is that there was precious little action to be found here, long stretches of nothingness (about ten minutes passes by at the start of the movie with no dialogue at all) and in the end I really couldn't see what the point of this was. Some parts of this movie are well done. The portrayal of the Old West was totally believable, the look at early oil drilling was interesting, the performances from Day-Lewis as silver miner turned oilman Daniel Plainview and Paul Dano as the charismatic preacher Eli Sunday were good and the final confrontation between Plainview and his ""son"" (Russell Harvard) was very emotional. Overall, though, to me the story didn't seem to flow all that well. It just completely failed to capture my attention, and trying to keep focused on a movie that is just plain uninteresting for two and a half hours is excruciating. For whatever reason I also found the musical score by Jonny Greenwood to be at times inappropriate in that it often just didn't seem to fit the mood of what I was seeing on the screen. Clearly I'm in the minority on this, but I just didn't find this to be a good movie at all, and I frankly can't go any higher than a 2/10 for it.",0
14,11 September 2008,baumer,3, There will be boredom,"I have seen some very bad films, most of them horror or ""movies"" that are spoofs of other films. I thought Meet The Spartans was the worst movie I have ever seen, and even though it is, because it is not a film in a true sense of the word, I have to go ahead and say that There Will Be Blood is perhaps worse than it. Because this is a real film, with a real theme and real actors and a director and so on, TWBB should be in the category of one of the worst films ever made.",4
15,14 January 2008,Movie_Muse_Reviews,10," Brilliant and chilling, ""Blood"" will leave you speechless","Words don't describe Paul Thomas Anderson's latest epic film project, and he doesn't let them dominate the story either. A significant chunk of ""There Will Be Blood"" has no dialogue and the ability for it to stay so captivating is only a testament to Anderson's incredible ability to tell stories about people through images that says more than about what's happening.",2
16,8 January 2008,gregeichelberger,4, 'Blood' and oil do not mix,"With all of the hype surrounding Daniel Day-Lewis' performance (he was, in fact, given a Best Actor nod from the San Diego Film Critics Society, for whatever that is worth) in the P.T. Anderson-directed tale of early American oil speculation, ""There Will Be Blood,"" I can only relate my extreme disappointment.",3
17,6 January 2010,Theo Robertson,5, Perhaps Too Art House For Its Own Good,"I was looking forward to seeing this when it was released in the cinemas , a story of single minded obsession with some great reviews from Daniel Day Lewis performance . Only problem was when I checked the local listings of the local Odeon cinemas it wasn't being screened . Nor was it being screened at the Edinburgh film house which left me puzzled . I did find out that it screened at the Edinburgh Cameo but had finished its run before I got a chance to see it . I was puzzled that film that received much critical acclaim didn't get a wider release but after seeing it on Sky movies I'm somewhat surprised it got so much acclaim in the first place ",/
