Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,23 November 2010,TheLittleSongbird,10, Stunning,"I am a huge Studio Ghibli/Miyazaki fan, and My Neighbour Totoro is no exception. In fact it is one of my favourites from them. There are so many wonderful things about My Neighbour Totoro. It is very simple in story and character but it is all very beautiful, charming and touching. The animation is typical Ghibli, ethereal-looking and just ravishing to watch, while the music is one of my favourite scores in a Ghibli film. The story is simple, but I loved the simplicity, it had such a pleasant atmosphere to it, and the characters are engaging with great chemistry together. I have very little to complain about the voice acting either, everybody did a fine job. In conclusion, in my opinion this is an animated classic. 10/10 Bethany Cox",/
1,15 October 2007,Galina_movie_fan,10, Another miracle from Hayao Miyazaki,"I absolutely agree with Roger Ebert who called ""My Neighbor Totoro"", ""One of the most beloved of all family films"". Its colorfully bright and sparkling animation is enchanting. It is incredibly realistic and at the same time makes us along with two main characters, the young sisters ready for a miracle to happen any minute. The gentle story is touching, uplifting, funny, and tender without being overly sentimental or didactic. The film takes place in the early 50s, when 10-year-old Satsuki and her baby sister, curious and energetic 4-year-old Mei spend one summer in an old house in the country side with their University professor father while their mother recovers from a serious illness in the nearby hospital. The great master Hayao Miyazaki remembers well what it is like to be a child, to see magic in the everyday life and be always ready to encounter it. This ability usually disappears as the child becomes adult but it stays forever in a few chosen, and they become the visionary Artists - just like Miyazaki himself. The film is partially autobiographical for the writer/director/storyboard artist. ""When Miyazaki and his brothers were children, his mother suffered from spinal tuberculosis for nine years, and spent much of her time hospitalized. It is implied, yet never revealed in the film, that Satsuki and Mei's mother also suffers from tuberculosis. He once said the film would have been too painful for him to make if the two protagonists were boys instead of girls."" (From the IMDb film trivia)",r
2,16 October 2016,SnoopyStyle,8, cute and sweet,Professor Tatsuo Kusakabe moves his daughters Satsuki and Mei to an old house in the country near the hospital where his wife Yasuko is convalescencing. The girls find tiny soot sprites scurrying away from the light. Mei discovers forest spirit Totoro sleeping in a giant tree. The girls are waiting for their father at the bus stop. He's late. Mei is falling asleep when Totoro shows up. Satsuki gives him an umbrella and he's overjoyed. He gives the girls a gift of acorns as he boards the cat-bus.,e
3,24 June 2005,planktonrules,10, I loved the film but know there are now three versions on video in the USA,"Although so many reviews have been written here for the movie, I am including one because there are now 3 different video versions of this movie and all three are certainly worth watching.",v
4,1 January 2005,Spectravideo,10, This is a great film!,"There is no compulsory villain in this wonderfully animated film, no moral lessons, no standard blue print story, and the characters will definitely not break out in a song. Thank God! It's simply a great film for all ages. Don't mind if the soundtrack isn't dubbed to your native language, my kids (4 and 6 years old) could easily follow the story with just a few helpers. Japanese is a wonderful language. The film has great direction, beautiful backgrounds and a mystical, pleasant aura throughout. There's nothing like this, I promise you. It's idyllic, for the most part, but still with an exciting story that unfolds into something very unexpected.",i
5,18 August 2004,ghostofdaniel,10, The cutest movie I ever saw !,"My favorite Miyazaki's movie is ""Princess Mononoke"" on a graphical scale. But on a ""charming scale"", this one is really the best.",e
6,29 September 2004,burgan6203,10, This is the movie I watch to restore my faith in humanity,"I first saw ""My Neighbor Totoro"" when I was maybe seven.At the time, I thought that it was really boring(that was still when I liked Disney movies). Years later, when I discovered ""Princess Mononoke"" I learned that MNT was by the same director and watched it again. And I find that I appreciate this film a whole lot more now then I did when I was seven.",w
7,18 June 2020,kosmasp,10, A Totoro for everyone,Or one for two would also be cool. Now I'm not sure what the Totoro is or was based on. But I know when it comes to imagination Studio Ghibli had an abundance of it. Which is present here too. You have to suspend disbelief and let fantasy reign. Your inner kid will thank you for it.,/
8,20 February 2005,EarthwormJimFan,10," A delightful, touching, timeless classic!","From the brilliant ""Walt Disney of Japan"", Hayao Miyazaki, comes a wonderful soothing film that everyone will simply embrace. Featuring stunning animation, endearing personable characters, and a heart-tugging storyline that's simple, enchanting, and even dramatic.",r
9,1 November 2020,Xstal,8, Stunningly Charmingly Beautiful...,"A phenomenally, enchantingly crafted piece of animation that will restore your faith in just about anything. Take a look at a world through the eyes of two young girls, Satsuki and Mei who are both desperately missing their hospitalised mother and coming to terms with it in their own unique way and, with a bit of help, from some interesting friends they find in their neighbourhood. As honest as the day is long, there's something in here for everyone if you can find a way to open your mind to it.",w
10,5 April 2005,ww_sketcher,9, Totoro is a Winner,"Miyazaki's My Neighbor Totoro is a film that should be able to put a smile on any viewers face, and without a doubt, it'll take you on one of the most whimsical and fantastic journey's ever.",1
11,13 February 2005,billf7,10, The kind of film that stays with you afterwards...,"I first watched this film in Japanese with a 12 year old translating for me and I still thought it was incredible. There are so many wonderful touches, like a tin can in the stream while the kids are fascinated by a fish, or the flying scenes (I'm convinced that Ang Lee thought of Miyazaki when he made The Hulk, just in terms of the jumping scenes) that show a curious mind at work throughout the picture. I also love the sense of magic and innocence (and the lack of violence) which pervades the movie. It is a real antidote from the Disney formula which always involves a villain being trashed at the end. This is a film about the wonder of being a child and experiencing something incredible which adults can't see but recognize nonetheless. It works for any age as well. Enjoy.",4
